 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1          7             0       -4.723139   -0.782273    1.526588
    2          6             0       -4.770852    0.700027    1.358186
    3          6             0       -3.425680    1.289740    0.942960
    4          6             0       -3.003647    0.889425   -0.470951
    5          6             0       -1.679155    1.517317   -0.915967
    6          6             0       -0.467055    0.989712   -0.146930
    7          6             0        0.853756    1.587355   -0.631706
    8          6             0        2.067296    1.037079    0.117691
    9          6             0        3.387548    1.643482   -0.358605
   10          6             0        4.611338    1.120767    0.398802
   11          6             0        4.898939   -0.360145    0.148004
   12          6             0        6.160349   -0.853531    0.858420
   13          6             0        6.444351   -2.325493    0.597632
   14         17             0       -3.879848   -2.423173   -1.499782
   15          1             0       -5.626000   -1.164177    1.841772
   16          1             0       -4.009568   -1.048975    2.218226
   17          1             0       -4.480135   -1.252386    0.638408
   18          1             0       -5.108656    1.156981    2.297176
   19          1             0       -5.533483    0.962470    0.615768
   20          1             0       -2.659909    0.978087    1.661638
   21          1             0       -3.455744    2.384420    1.011038
   22          1             0       -3.803148    1.162098   -1.171619
   23          1             0       -2.924163   -0.201156   -0.537519
   24          1             0       -1.734819    2.607208   -0.809819
   25          1             0       -1.522860    1.342305   -1.988347
   26          1             0       -0.428031   -0.103008   -0.228918
   27          1             0       -0.585081    1.190365    0.924170
   28          1             0        0.822282    2.679255   -0.533608
   29          1             0        0.970161    1.401882   -1.706156
   30          1             0        2.094770   -0.053291    0.010183
   31          1             0        1.947761    1.214122    1.193371
   32          1             0        3.329524    2.736052   -0.269806
   33          1             0        3.511323    1.450909   -1.431125
   34          1             0        4.477572    1.290269    1.473972
   35          1             0        5.498710    1.706302    0.125728
   36          1             0        4.990874   -0.538888   -0.930177
   37          1             0        4.043427   -0.967760    0.464798
   38          1             0        6.063714   -0.671968    1.936850
   39          1             0        7.016491   -0.242216    0.544386
   40          1             0        5.617668   -2.953268    0.935396
   41          1             0        7.346461   -2.667327    1.109799
   42          1             0        6.579336   -2.518886   -0.468219
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons

 Harmonic frequencies (cm**-1), IR intensities (km*mol⁻¹),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --  -125.7153                30.5129                45.9720
 Red. masses --    21.9848                23.9608                13.2542
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --   120.7204                 7.4345                10.2512
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   7    -0.11   0.28   0.49     0.14  -0.08   0.03     0.19  -0.16   0.02
   2   6    -0.03   0.23   0.14     0.01  -0.08   0.02     0.22  -0.12   0.24
   3   6     0.01   0.08   0.05    -0.03   0.02   0.02     0.19  -0.11   0.15
   4   6    -0.03  -0.04   0.07    -0.08   0.14  -0.03     0.05   0.01   0.07
   5   6    -0.03  -0.07   0.01    -0.08   0.17  -0.01    -0.00   0.06   0.00
   6   6    -0.02  -0.03   0.02    -0.08   0.10  -0.06     0.06   0.10  -0.07
   7   6    -0.02  -0.02   0.00    -0.07   0.09  -0.05     0.03   0.10  -0.14
   8   6    -0.02  -0.00   0.01    -0.09   0.03  -0.06     0.04   0.11  -0.15
   9   6    -0.02  -0.00  -0.00    -0.07  -0.00  -0.05     0.05   0.05  -0.19
  10   6    -0.01  -0.00  -0.01    -0.10  -0.06  -0.03     0.03   0.07  -0.14
  11   6    -0.01  -0.00  -0.00    -0.16  -0.07  -0.02    -0.07   0.02   0.04
  12   6    -0.00   0.00  -0.01    -0.20  -0.13   0.00    -0.14  -0.00   0.17
  13   6    -0.01   0.00  -0.00    -0.27  -0.15   0.01    -0.24  -0.05   0.33
  14  17     0.21  -0.32  -0.56     0.73   0.03   0.15    -0.28  -0.05  -0.26
  15   1    -0.04   0.10   0.12     0.03  -0.05  -0.05     0.07  -0.04   0.07
  16   1    -0.05   0.10   0.16     0.00  -0.00   0.05     0.11  -0.08  -0.07
  17   1    -0.01   0.05   0.17     0.11  -0.01   0.02    -0.04  -0.01  -0.04
  18   1    -0.01   0.12   0.01    -0.01  -0.03   0.01     0.11  -0.07   0.10
  19   1    -0.00   0.03   0.02    -0.00  -0.04   0.01     0.04   0.01   0.11
  20   1    -0.00   0.03   0.02     0.00  -0.00  -0.01     0.07  -0.06   0.01
  21   1     0.02   0.03  -0.01    -0.02   0.00   0.03     0.07  -0.03   0.08
  22   1    -0.01  -0.02   0.02    -0.03   0.06   0.01    -0.01   0.02   0.05
  23   1    -0.01  -0.01   0.04    -0.02   0.04  -0.04     0.02   0.01  -0.01
  24   1    -0.01  -0.02  -0.02    -0.02   0.05   0.02    -0.01   0.02   0.00
  25   1    -0.01  -0.04   0.01    -0.03   0.07  -0.01    -0.02   0.02  -0.00
  26   1     0.00  -0.01   0.01    -0.03   0.03  -0.03     0.02   0.03  -0.02
  27   1    -0.00   0.00   0.00    -0.02   0.01  -0.01     0.03   0.03  -0.02
  28   1    -0.01  -0.01  -0.00    -0.01   0.03  -0.00     0.01   0.03  -0.05
  29   1    -0.01  -0.01   0.00    -0.02   0.04  -0.02    -0.00   0.02  -0.04
  30   1    -0.00  -0.00   0.01    -0.04   0.01  -0.03     0.00   0.03  -0.03
  31   1    -0.00   0.00   0.00    -0.02   0.00  -0.02     0.02   0.05  -0.04
